Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,irony,"see people walk with crutch make me really excite for the next 3 week of my life 
","seeing ppl walking crutches makes excited next weeks life 
","people walk crutch make excite next week life  
","see ppl walk w/ crutch make me real excite for the next 3 week of my life 
","see ppl walk crutch make excit next week life  
"
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",non irony,"look for the girl with the broken smile, ask her if she want to stay while, and she be love. 
","look girl broken smile ask wants stay will loved. 💕🎵 
","look girl broken smile ask want stay she love.  
","look for the girl with the brok smile, ask her if she want to stay whil, and she will be lov. 
","look girl break smile ask want stay will love.  
"
Now I remember why I buy books online @user #servicewithasmile,irony,"Now I remember why I buy book online @user #servicewithasmile 
","remember why buy books online @user #servicewithasmile 
","remember why buy book online @user #servicewithasmile  
","Now I rememb why I buy book onlin @user #servicwithasmil  
","rememb why buy book onlin @user #servicewithasmile 
"
@user @user So is he banded from wearing the clothes?  #Karma,irony,"user user so he band from wear the cloth karma 
","user user he banded wearing clothes Karma 
","user user he band from wear cloth karma 
","user user so he band from wear cloth karma 
","user he band wear cloth karma 
"
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,irony,"just find out there be etch a sketch app.  #oldschool #notoldschool 
","found out are Etch A Sketch apps  oldschool notoldschool 
","find out be etch sketch app.  #oldschool #notoldschool  
","just found out ther are etch sketch app.  #oldschool #notoldschool 
","found out ar etch sketch app oldschool notoldschool 
"
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",irony,"Hey what do you know one of the witness support Darren Wilson story lie and be racist mind blow.  
","Hey what know witnesses supporting Darren Wilson story lied racist Mind blown 
","Hey what know witness support Darren Wilson story lie racist mind blow.  
","Hey what do you know one of the witness support Darren Wilson' story lied! And is racist! Mind blown! 
","Hey what know witness support Darren Wilson stori lied racist Mind blow  
"
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,non irony,"user on stage at flzjingleball at the user in tampa iheartradio 
","user stage #flzjingleball user #Tampa #iheartradio 
","user stage flzjingleball user tampa iheartradio  
","user stag at #flzjingleball at the user in #Tampa #iheartradio 
","user stag #flzjingleball user #Tampa #iheartradio 
"
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,irony,"You know it be great day when you be Garmin reset itself and you spill some cinnamon down you  #slowclap 
","know going great day when Garmin resets and spill cinnamon yourself  #slowclap 
","know great day when Garmin reset and spill cinnamon  #slowclap  
","You know it's goin to be a great day when you're Garmin reset it self and you spill some cinnamon down your self  #slowclap 
","know go great day when garmin reset and spill cinnamon self  #slowclap 
"
Halfway thorough my workday ... Woooo,irony,"Halfway through my workday... Woooo 
","Halfway thorough workday Woooo 
","Halfway workday Woooo 
","halfway thorough myworkday... wooo 
","halfway thorough workdday wooo 
"
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,irony,"would like thank nephew for giv give cold sore throat etc. much appreciat. 
","like thank nephew giving horrible cold sore throat Much appreciated. 
","like thank nephew giv cold sore throat etc. much appreciat.  
","would lik thank neph for giv him horri cold & sor throa etc.. much appreciat! 
","like thank nephew giv horribl cold sore throe much appreciat.  
"
I forked node!  Get ready for the future.  (Where's my interviews),non irony,"I fork node!  Get ready for the future.  (Where be my interview) 
","forked node!  ready future.  (Where interviews) 
","fork node! Get ready future.  (Where be interview)  
","I fork node! get read for futur. (where's my interview) 
","fork node! readi futur. (where interview) 
"
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",non irony,"I be go visit great-nephew be ill, only 20 be fair. 
","off visit great-nephew ill 20 fair 
","be go visit great-nephew ill, 20 be fair.  
","i'm off visit great-nephew ver ill, onl 20 fair 
","off visit great-nephew ill 20 fair  
"
"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",irony,"If his twitter account be any sign, then this book look to be a must read id rather read twilight.  
","his Twitter account sign, book looks must read  rather read twilight 
","his twitter account sign, book look must read rather read twilight.  
","If his twitter account is any sign, then this book look to be a must read  i rathe read twilight 
","his Twiter account sign, book look must read rather read twilight  
"
Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,irony,"Nicholas Sparks have been manipulat woman believe that guy (in reality) be as sensitiv as the male character in his book.  
","Nicholas Sparks manipulating women believe guys reality sensitive male characters books. 
","Nicholas Sparks manipulate woman believe guy reality be sensitive male character book.  
","nichol spark has bee manipul woman to believ that guy (in realit) ar as sensitiv as the male character in his book.  
","nichol spark manipul woman belie guy real sensi male charact book.  
"
