Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,irony,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life.,'seeing ppl walking crutches makes me really excited next 3 weeks life','seeing ppl walking crutches makes me really excited next 3 weeks life.',seeing ppl walk w/ crutches makes me really excited for the next 3 weeks of my life,seeing ppl walking crutches makes me really excited next 3 weeks life
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",non irony,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved.",'girl broken smile ask wants stay loved','look girl broken smile ask wants stay loved.',"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",girl broken smile ask wants stay loved
Now I remember why I buy books online @user #servicewithasmile,irony,I remember why I buy books online @user #servicewithasmile.,'Remember why buy books online @user #servicewithasmile','I remember why I buy books online @user #servicewithasmile.',remember buy books online servicewithasmile,buy booksmileservicewith
@user @user So is he banded from wearing the clothes?  #Karma,irony,he be banded from wear the clothes? #Karma,'@user @user So is he banded from wearing clothes? #Karma',he banded wear clothes #Karma,user user so is he banded from wear wear wear clothes clothes #karma,user user so is he banded from wearing clothes? karma
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,irony,'Just find out there be Etch A Sketch apps.  #oldschool #notoldschool','Just found out there are Etch A Sketch apps. #oldschool #notoldschool',find out there be Etch A Sketch apps #oldschool #notoldschool,found out there are etch sketch apps #oldschool #notoldschool,just found out there are etch a sketch apps #oldschool #notoldschool
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",irony,hey what do you know one of the witness support Darren Wilson story lie! and be racist! mind blow!,Hey what do you know one of the witnesses supporting Darren Wilson's story lied And racist Mind blown,hey what do you know one of the witness support Darren Wilson story lie be racist mind blow,"hey what do you know, one of the witness support Darren Wilson story lie! and is racist! mind blown!",hey what do you know one of the witness support Darren Wilson story lie And racist mind blow
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,non irony,user on stage at flzingleball at user in Tampa iheartradio,'@user stage at #flzjingleball @user in #Tampa #iheartradio',user stage flzingleball user Tampa iheartradio,user on stage at flzingleball at user in Tampa iheartradio,stage at flzingleball in Tampa iheartradio
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,irony,you know it be a great day when you Garmin reset itself and you spill some cinnamon down yourself  #slowclap,'know great day Garmin resets cinnamon spill #slowclap','you know it be great day when Garmin reset itself and you spill some cinnamon down yourself #slowclap',you know its going to be a great day when youre garmin resets itself and you spill some cinnamon down yourself  #slowclap,great day Garmin reset cinnamon spill #slowclap
Halfway thorough my workday ... Woooo,irony,'Halfway through my workday... Woooo','Halfway thorough workday Woooo','Halfway through workday Woooo',halfway thorough my workday woooo,halfway thorough workday woooo
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,irony,would like to thank my nephew for giving me his horrible cold and sore throat etc.. much appreciated!,'like thank nephew giving me horrible cold sore throat much appreciated','like thank nephew giving me horrible cold sore throat much appreciated',would like to thank my nephew for giving me his horrible cold sore throat etc much appreciated!,like thank nephew giving me horrible cold sore throat much appreciated
I forked node!  Get ready for the future.  (Where's my interviews),non irony,'I fork node! Get ready for the future. (Where's my interview)'.,forked node! Get ready for the future. (Where's my interviews),fork node! Get ready for the future. (Where's my interview),i fork node! get ready for the futre. (wher my interview),fork node! get ready for the futre. (wher my interview)
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",non irony,"I'm off to visit great-nephew very ill, only 20 fair.","I'm off to visit great-nephew very ill, only 20 fair","I'm off to visit great-nephew very ill, only 20 fair.","I'm off to visit great-nephew very ill, only 20 fair.","I'm off to visit great-nephew very ill, only 20 fair."
"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",irony,"if his Twitter account be any sign, then this book look to be a must read id rather read twilight",'His Twitter account if any sign then book looks to be must read id rather read twilight',"'if his Twitter account be any sign, then this book look to be a must read id rather read twilight'",if his twitter account is any sign then this book look to be a must read id rather read twilight,his twitter account if any sign then book looks to be must read id rather read twilight
Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,irony,nicholas sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,Nicholas Sparks manipulating women believe guys reality male characters books.,nicholas sparks manipulating women believe guys reality male characters books.,nicholas sparks has been manipulatin women to beleiv that guys (in reality) are as sensativ as the male characters in his books.,nicholas sparks manipul women believ guys reality male charact books.
@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,non irony,user can use smartphone? | http://t.co/Q2WB7riAvK | smartphone app pays you! | see http://t.co/RDlRuGN0iE | go 2:,'@user use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:',smartphone app pays user? http://t.co/Q2WB7riAvK go 2:,can u use smartphone?||http://t.co/Q2WB7riAvK|smartphone app pays you!|see-http://t.co/RDlRuGN0iE |go 2:,use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:
"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",non irony,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude and festivity of loving.",'accepting crumbs love equally appreciate silence solitude festivity loving.','accepting crumbs love equally appreciate silence solitude festivity loving.',"when we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude and festivity of loving.",accepting crumbs love equally appreciate silence solitude festivity loving.
