Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,hate,a woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot,woman fucked times saying dick small compliment know hit spot,woman fucked times saying yo dick small compliment know hit spot,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,woman fucked times saying dick small compliment know hit spot
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,hate,@user @user real talk do you have eyes or were they gouged out by a rapefugee,user user real talk have eyes gouged rapefugee,user real talk eyes gouged rapefugee,@user @user real talk do you have eyes or were they gouged out by a rapefugee?,"user user real talk have eyes gouged rapefugee
"
your girlfriend lookin at me like a groupie in this bitch!,hate,your girlfriend lookin at me like a groupie in this bitch,girlfriend lookin me like groupie bitch,girlfriend lookin me like groupie bitch,your girlfriend lookin at me like a groupie in dis bitch,"girlfrnd lookn m like groupi bitch
"
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,hate,I be not go after your ex bf you lieing sack of shit! I'm done with you dude that's why I dump your ass cause you be lieing 😂😡 bitch,done with you dude why dumped ass lieing 😂😡 bitch,done with you dude that’s why I dump your ass cause be lieing 😂😡 bitch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,don wiv u dud why dump ass lyng 😂😡 bitch
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",hate,"send home migrants not in need of protection, peter dutton tells un, hey dutton how about the ones that have stayed and not left the country when they should overstay? why don't you go and round them up?","Send home migrants need protection, Peter Dutton tells UN, Dutton HOW ABOUT ones stayed country not left country when overstayers? Why dont you go round them up?",send home migrants need protection peter dutton tells un hey dutton about ones that have stayed country when should overstay why don't you go round them,"send home migrant not in need protect, peter dutton tell un, hey dutton how about ones that have stay and not leave country when they overstay why dont you go round them up","Send home migrants need protect, Peter Dutton tells UN, Dutton HOW ABOUT ones stayed country not left country when overstay"
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",hate,"Cory Booker and Kamala Harris competing for most hysterical woman at the Kavanaugh hearings, Coulter hilariously tweeted. And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Cory Booker Kamala Harris competing Most Hysterical Woman Kavanaugh hearings, Coulter tweeted.Yes, liberals triggered Twitter, saying joke offensive.Them say, suck snowflakes.","Cory Booker Kamala Harris competing most hysterical woman Kavanaugh hearings, Coulter tweeted hilariously. Yes, liberals triggered Twitter, saying joke offensive. Them say, suck snowflakes.","Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.
","Cory Booker Kamala Harris competing most hysterical woman Kavanaugh hearings, Coulter tweeted.Yes, liberals triggered Twitter, saying joke offensive.Them say, suck snowflakes."
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,hate,should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,let Libyan bomber rot country. How many more mass murderers did Royal Navy import Britain? How many more terrorists do NGO's rescue international waters. RefugeesWelcome,let Libyan bomber rot country. How more mass murderers import Britain? How more terrorists rescue international waters. RefugeesWelcome,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,let Liby rot countr. How many mor mass murder import Brit. How many mor terrorist rescu internat wate. RefuWelcome
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",hate,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","account inactive woman reporting Twitter. lack judgement, shocking. YesAllMen","account inactive woman reporting Twitter. lack judgement, shocking. YesAllMen","This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","account inactive woman reporting Twitter. lack judgement, shocking. YesAllMen
"
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,hate,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,listen love lil b but would not fuck with dej loaf at all she prob got poison nail polish bitch holes,listen love lil b but would not fuck with dej loaf at all she prob got poison nail polish bitch holes,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,"listen lov lil b but would not fuck with dej loaf at all sh prob got poison nail polish bitch holes
"
@user @user keep calling her a bitch and a whore dude real grown up.,hate,@user @user keep calling her a bitch and a whore dude real grown up,user user keep calling her bitch whore dude real grown,user user keep calling her bitch whore dude real grown,"@user @user keep callin her a bitche and whore dude real grown up
",user user keep call her bitch whore dude real grown
