filename,column,perc_correct_stems_Snowball
cardiffnlp_french_test_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4605
cardiffnlp_french_test_Llama-3.1-8B-Instruct_fr-prompt_,Text_stemmed,0.3444
cardiffnlp_french_test_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4700
cardiffnlp_french_test_Phi-4-mini-instruct_fr-prompt_,Text_stemmed,0.3644
cardiffnlp_french_test_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.4667
cardiffnlp_french_test_Qwen2.5-7B-Instruct_fr-prompt_,Text_stemmed,0.4298
cardiffnlp_french_test_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5105
cardiffnlp_french_test_gemma-2-9b-it_fr-prompt_,Text_stemmed,0.3392
cardiffnlp_french_test_gemma-3-4b-it_en-prompt_,Text_stemmed,0.5097
cardiffnlp_french_test_gemma-3-4b-it_fr-prompt_,Text_stemmed,0.3342
cardiffnlp_french_train_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4554
cardiffnlp_french_train_Llama-3.1-8B-Instruct_fr-prompt_,Text_stemmed,0.3385
cardiffnlp_french_train_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4762
cardiffnlp_french_train_Phi-4-mini-instruct_fr-prompt_,Text_stemmed,0.3609
cardiffnlp_french_train_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.4706
cardiffnlp_french_train_Qwen2.5-7B-Instruct_fr-prompt_,Text_stemmed,0.4312
cardiffnlp_french_train_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5197
cardiffnlp_french_train_gemma-2-9b-it_fr-prompt_,Text_stemmed,0.3501
cardiffnlp_french_train_gemma-3-4b-it_en-prompt_,Text_stemmed,0.5085
cardiffnlp_french_train_gemma-3-4b-it_fr-prompt_,Text_stemmed,0.3514
