Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",neutral,"ben smith / smith (concussion) remain out of the lineup thursday, curtis #nhl #sj","Smith / Smith concussion remains out of lineup Thursday, Curtis NHL SJ",smith smith concussion out lineup thursday curtis nhl sj,"ben smith / smith (concussion) remain out of lineup thursday, curtis #nhl #sj",smith smith concusion remain out of lineup thursday curtis nhl s
Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,neutral,'I sorry bout the stream last night I crash out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.',Sorry stream last night crashed out will be tonight for sure back Minecraft in pc tomorrow night.,'I sorry bout stream last night crash out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.',sor bout the stream last night I cras out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,stream last night crashed out will be tonight for sure back Minecraft in pc tomorrow night.
Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,neutral,chase headley's RBI double in the 8th inning off david price snap a yankees streak of 33 consecutive scoreless innings against blue jays,Chase Headley RBI double David Price snapped Yankees streak Blue Jays,chase headley's RBI double in 8th inning off david price snap yankees streak 33 consecutive scoreless innings against blue jays,chase headleys RBI double in 8th inning off david price snap Yankees streak of 33 consec scoreless innings against Blue Jays,chase headley rbi double david price snapped yankees streak blue jays
@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,neutral,user user sit in a tree kiss 1st go job then cred go Vicki with the GM position.,CENA AJ sitting tree KISS 1st goes AJ job then John cred goes Vicki with GM position.,user sit tree kiss 1st job cred go Vicki with GM position.,cena aj sitin tree kissen 1st goes aj job then john cred then go vicki with the gm position.,cena aj sit tree kiss 1st go aj job then john cred go vicki with gm position.
@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,neutral,user well said on HMW. can you now address why Texans fans file out of the stadium midway through the 4th quarter of every game?,user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th quarter of every game?,user well said on HMW. can you now address why Texans fans file out of the stadium midway through the 4th quarter of every game?,well said on hmw. can you now address why texans fans file out of the stadium midway through the 4th qtr of every game?,user well said on HMW. can you now address why Texans fans file out of the stadium midway through the 4th quarter of every game?
Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,neutral,'Just said hello to Dennis Kucinich as he walk casually through campus with his #hotwife. He on 22nd st!','Just said hello Dennis Kucinich walked casually campus with his #hotwife He's on 22nd st','Just said hello Dennis Kucinich walk casually campus with his #hotwife He on 22nd st',he said hello to Dennis Kucinich as he walk casually through campus with his hotwife. he's on 22nd st.,just said hello dennis kucinich walked casually campus with his hotwife he's on 22nd st
@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,neutral,user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here for the concert! BEYOND upset!,user  6 tickets Sam smith concert Sept 30 cheap Flew family 6 here concert BEYOND UPSET,6 tickets Sam smith concert Sept 30 cheap Flew family 6 here concert BEYOND upset,user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,user 6 tickets Sam smith concert Sept 30 cheap Flew family 6 here concert BEYOND upset
"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",neutral,Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.,Fiorentina Chelsea Kurt Zuoma loan January.,Fiorentina Chelsea Kurt Zuoma loan January.,fiorentina have reportedly opened talks with chelsea over taking the 20yr old kurt zuoma on loan in january.,fiorentina chelsea kurt zuoma loan jan
What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,neutral,what be jamie foxx do sit next to niall like you could've sit in a better spot just say lol,Jamie Foxx Niall sitting better spot saying lol,jamie foxx sit next to niall like you could sit in a better spot just say lol,what is jamie foxx do sitting next to niall like you could've sat in a better spot just saying lol,jamie foxx niall sit better spot say lol
"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",neutral,"user user 1st uneasyness was when he get defensive about Charlie Hebdo stuff, even tho he have pals patiently explaining","'@user @user 1st uneasyness was when he got v defensive about Charlie Hebdo stuff, even tho he had pals patiently explaining'","user 1st uneasyness when he get defensive about Charlie Hebdo stuff, even tho he have pals patiently explaining","@user @user 1st uneasyness was when he get defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining.","@user @user 1st uneasyness was when he get defensive about Charlie Hebdo stuff, even tho he had pals patiently explaining."
