Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Hartford executive #39;s stock sale probed,Business,'Hartford exec stock sale probed',Hartford executive stock sale probed,Hartford exec stock sale probed,hartford exec stock sale probed,hartford exec stock sale probed
Cool Batman Photo!,Sci/Tech,batman photo cool,'Cool Batman Photo',batman photo cool,batman photo,batman photo
Stocky Monkey in Himalayas Becomes Newest Primate Species,Sci/Tech,monkey in Himalayas become newest primate species,Stocky Monkey Himalayas Newest Primate Species,monkey Himalayas newest primate species,monkey stocky Himalayas primate species,monkey Himalayas primate species
"Bush, Kerry Don''t Worry About Tech",Sci/Tech,"bush, kerry don't worry about tech",Bush Kerry Don worry Tech,"bush, kerry, tech","bush, kerry dont worry about tech",bush kerry worry tech
The Teeming Crowd in Video Games,Sci/Tech,the teem crowd in video games,The Teeming Crowd in Video Games,teem crowd video games,teeming crowd in video game,teeming crowd in video game
Report: VoIP to Top 12M Homes by 2009,Sci/Tech,Report: VoIP to Top 12M Homes by 2009.,VoIP Top 12M Homes 2009,Report: VoIP to Top 12M Homes by 2009.,report voip to top 12m homes by 2009,VoIP Top 12M Homes 2009
Free Yahoo X1 desktop search,Sci/Tech,'Free Yahoo X1 desktop search',Yahoo X1 desktop search free,Yahoo X1 desktop search free,free yahoo x1 desktop search,yahoo x1 desktop search free
Black Duck #39;s protexIP  Safer Open Source Code Usage,Sci/Tech,'Black Duck #39's protexIP safer open source code usage',Black Duck protexIP Safer Open Source Code Usage,Black Duck #39's protexIP safer open source code usage,protexIP Safer Open Source Code Usage,protexIP Safer Open Source Code Usage
Apple breeze past the 200 Million iTunes mark,Sci/Tech,Apple breeze past the 200 Million iTunes mark.,Apple breeze past 200 Million iTunes mark,Apple breeze past 200 Million iTunes mark.,apple breeze past 200 million itunes mark,apple breeze past 200 million itunes mark
"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters)",Sci/Tech,"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters)",RealNetworks Halves Music Prices Sees Wider Loss Reuters,RealNetworks Halves Music Prices Sees Wider Loss Reuters,"reallnetworks halves musics prices, sees wider los (reuters)",reallnetworks halves music prices sees wider loss reuters
Stocks Set to Open Higher,Business,stocks set to open higher,Stocks Set to Open Higher,stocks set to open higher,stocks set to open higher,stocks set to open higher
"PeopleSoft Defies Oracle Bid, Pursues IBM",Sci/Tech,"PeopleSoft defies Oracle bid, pursues IBM.",PeopleSoft Defies Oracle Bid Pursues IBM,"PeopleSoft defies Oracle bid, pursues IBM.",peopsoft defies oraclebid pursues ibm,peopsoft defies oraclebid pursues ibm
Tech Groups Want Induce Hearings,Sci/Tech,tech groups want induce hearings,Tech Groups Induce Hearings,tech groups want induce hearings,tech groups want induce hearings,tech groups induce hearings
TI Unveils Digital TV Chip for Cell Phones,Sci/Tech,'ti unveil digital tv chip for cell phones',TI Unveils Digital TV Chip for Cell Phones,unveil digital tv chip cell phones,t unveils digital tv chip for cell phones,t unveils digital tv chip for cell phones
IBM Expands RFID Offerings (NewsFactor),Sci/Tech,IBM expand RFID offerings (NewsFactor),IBM Expands RFID Offerings NewsFactor,IBM expand RFID offerings (NewsFactor),ibm expands rfid offerings (newsfactor),ibm expands rfid offerings newsfactor
McAfee #39;s Trojan error ires developer,Sci/Tech,McAfee's Trojan error irs developer.,McAfee 39s Trojan error ires developer,McAfee's Trojan error irs developer.,McAfee's Trojan error irs developer,McAfee Trojan error ir developer.
Quake Shakes Mount St. Helens,Sci/Tech,quake shake mount st helens,Quake Shakes Mount St. Helens,quake shake mount st helens,quake shake mount st helens,quake shake mount st helens
"Earthlink, Yahoo test new antispam system",Sci/Tech,earthlink yahoo test new antispam system,Earthlink Yahoo new antispam system,earthlink yahoo test new antispam system,earthlink yahoo test new antispam system,earthlink yahoo new antispam system
Volcano Appears to Rest After Letting Off Steam,Sci/Tech,'volcano appear rest after let off steam',Volcano Appears to Rest After Letting Off Steam,volcano appear rest after let off steam,volcano appear rest let off steam,volcano appear rest let off steam
Gateway Debuts Cool New PC,Sci/Tech,'Gateway debut cool new PC',Gateway Debuts Cool New PC,Gateway debut cool new PC,gater debuts cool new pc,gater debuts cool new pc
Waterproof IPod Housing All Wet,Sci/Tech,waterproof ipod housing all wet,Waterproof IPod Housing All Wet,waterproof ipod housing all wet,waterproof ipod housing all wet,waterproof ipod housing all wet
Boston Scientific goes shopping,Business,Boston Scientific go shop.,Boston Scientific shopping,Boston Scientific shop.,boston scientific goes shopping,boston scientific shopping
FCC Insists Broadband Deployment Improving,Sci/Tech,improve broadband deployment,'FCC Insists Broadband Deployment Improving',improve broadband deployment,broadband deploy improv,broadband deploy improv
Holiday Online Sales Growth To Slow This Year (NewsFactor),Sci/Tech,holiday online sales growth slow this year (newsfactor),Holiday Online Sales Growth Slow Year NewsFactor,holiday online sales growth slow this year (newsfactor),holiday online sales growth slow this year (newsfactor),holiday online sales grow slow year newsfactor
"Indian, Pakistani Firms OK Tech Agreement (AP)",Sci/Tech,Indian Pakistani Firms OK Tech Agreement (AP),Indian Pakistani Firms OK Tech Agreement AP,Indian Pakistani Firms OK Tech Agreement (AP),IndianPakistaniFirmOKTechAgreement,indian pakistani firms ok tech agreement ap
"For Nextel, Merger Is Time Of Trepidation",Sci/Tech,"'For Nextel, Merger Is Time Of Trepidation'",Nextel Merger Trepidation,Nextel Merger Trepidation,"nextel, merger, time, trepidation",Nextel Merger Trepidation
Possibly the fastest way to spend money,Sci/Tech,the possible fast way to spend money,the fastest way to spend money,possible fast way to spend money,the possibl fastest way to spend money,the fastest way to spend money
