Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,"user user what do these half naked pic have to do with anything they are not even like that 
","user user these pics have do anything Theyre not like that. 
","user user what these half naked pic have do  anything they are like that  
","user user what do thes '1/2 naked pic' hav to do with anythng? theyre not even like that. 
","user user thes pic hav do anyth theyre not lik that.  
"
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,"I have a blue penis while I be this [playing with Google Earth VR] 
","OH blue penis while this playing Google Earth VR.  
","blue penis  be  [playing with Google Earth VR]  
","OH: ""I had a blu penis whil I was this"" [play with Google Earth VR] 
","oh blu penis whil play google earth vr.  
"
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,"user user that come, but i think the victim be medicaid recipient. 
","coming think victims going Medicaid recipients. 
","user user come think victim be medicaid recipient.  
","@user @user that's com, but i think the victm ar go to b medicaid recipient. 
","com think vict go medicaid recipient.  
"
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,"Savchenko now Saakashvili take drug test live on Ukraine TV. To prove they be not drug-fuelled loony. 
","Savchenko Saakashvili took drug test live Ukraine TV. prove they drug-fueled loonies. 
","Savchenko Saakashvili take drug test live Ukraine TV. prove they be drug-fuelled loony.  
","Savchenk now Saakashvil took drug test live on Ukrain TV. To proov they ar not drug-fuel loon.  
","Savchenk Saakashvil took drug test live Ukrain TV. prove they drug-fuel loon.  
"
How many more days until opening day? 😩,neutral,"How many more day until open day? 
","many days until opening day 
","many day open day 
","How many mor day until open day? 
","many day until open day 
"
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,"All CSG and frack all around Australia is to cease and mining entity hold accountable. - Sign the petition. 
","CSG Fracking Australia cease Mining Entities Accountable  Sign Petition 
","CSG frack Australia cease mining entity hold accountable.  Sign petition.  
","All CSG and fract all around Australia is to ceas and Mining Entity held Accountable! - Sign the Petition! 
","CSG fractur Australia cease Min Entity accountabl sign petition 
"
An interesting security vulnerability - albeit not for the everyday car thief,neutral,"An interest security vulnerabil - albeit not for the everyday car thief.  
","interesting security vulnerability albeit  car thief 
","interest security vulnerabil not everyday car thief.  
","An interest security vulnerabil - albe not for the every day car thief 
","interest security vulnerabil albe car thief 
"
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,"Gilmore Girls top four spoke Paris Emily Patty invisible number five Richard 
","GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible 5. Richard 
","Gilmore Girls top four Paris Emily Patty invisible number five Richard  
","#GilmoreGirlTop4 1. speak2. Pari3. Emil4. PattiInvisible number 5. Richard 
","GilmoreGirlTop4 1. speak2. Pari3. Emil4. PattiInvisible 5. Richard 
"
@user ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,neutral,"user oh ok see what if you have medical marijuana clearance does that make difference 
","user ok see what if have medical marijuana clearance Does make difference 
","user ok see what if have medical marijuana clearance make difference 
","user ohh ok i see what if u hav medic marijuana clear doe that mak a differenc 
","user ok see what if hav medic marijuana clear doe make differ  
"
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,neutral,"OPINION: The Anti-Trump riot be a smoke screen. 
","OPINION Anti-#Trump #Riots SmokeScreen. 
","OPINION Anti-Trump riot smoke screen.  
","OPINION: The Anti-#Trump #Riot ar a #SmokeScreen: 
","OPINION Anti-trump riot smokescreen. 
"
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,neutral,"ISIS and CIA what you need know.  
","ISIS CIA Need Know ISIS falseflag saudi CIA mossad israel 
","ISIS CIA need know.  
","ISIS and CIA What You Need Know #ISIS #falseflag #saudi #CIA #mossad #israel 
","isis cia need know isis falsflag saudi cia mossad israel 
"
@user alt-right was adopted by Deplorables. Average middle Americans.  I've now moved to Libertarian. @user,neutral,"user alt-right be adopt by Deplorables. average middle American. I move to Libertarian. user.  
","alt-right adopted Deplorables. Average middle Americans. moved Libertarian. 
","user alt-right be adopt Deplorables average middle American move Libertarian user 
","user alt-right w adopt by deplorabl. averag midl american. i've now mov to libertari. user. 
","alt-right adopt deplorabl. averag middle american.  mov libertarian.  
"
