Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,normal bin ich ja ned der mensch dwer sich beschwer ned wegen dem essen aber dieser pizza von joey boah wie ekelhaft,Normal ich ja der mensch wer sich beschwert wegen essen aber diese Pizza von Joeys boah wie ekelhaft,bin ja der mensch beschwer wegen essen pizza joey ekelhaft,normal bin ich ja ned der mensch dwer sich beschwer dwendem dem essen aber diese pizza von joey boah wie ekelhaft,Normal ich ja der mensch wer sich beschwert wegen essen aber diese Pizza von Joeys boah wie ekelhaf
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,vfb stuttgart gegen sv hamburg: das warten auf den nächsten schritt - stuttgarter zeitung: die weltvfb stuttga...,VfB Stuttgart gegen SV Hamburg: Das Warten auf nächsten Schritt WELTVfB Stuttgart...,vfb stuttgart gegen sv hamburg das warten auf nächsten schritt stuttgarter zeitung die weltvfb stuttga,VfB Stuttgart gegn SV Hamburg: Das Warten auf d nchsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga...,Vfb stuttgарт gegen sv hamburg: das warten auf nchsten schritt weltvfb stuttgарт...
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlen sich schon so spät an 😚😊😊,@user fühlt sich schon so spät an 😚😉😉😉,fühlen sich schon so spät an 😚😊😊,@fehltsichspätan😊😊😊,@fuhlt.sich.schon.so.spät.an
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaube ich! XD 30€ sind echt not bad T___T *grübel*,@user glaub ich! XD 30€ echt not bad T___T grübel,@user glaube ich! XD 30€ echt not bad T___T grübel,@glaub glaub ich! XD 30€ sind echt not not bad T___T *grübel*,@glaub glaub ich! XD 30€ echt not not bad grübel
@user. Diviertete,1,@user. diviidiert.,Divierteted,@user divividiert.,@user. Dividierter.,Dividetest
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisch popcorn rüber reich. coke? klar, kein thema!","@user @user plopp plopp plopp: frisches Popcorn rüberreich. Coke? klar, Thema!.","@user @user plopp plopp plopp: frisch popcorn rüber reich. coke? klar, thema!","@user @user plopp plopp plopp: frisch popkorn rüber reich. coke? klar, kein thema!","@user @user plopp plopp plopp: frisch popk rüberreich. coke? klar, thema!.`"
"Ach Scheiss drauf, dann eben nich",0,"Ach schei drauf, dann eben ni.",Ach Scheiss drauf dann eben,Ach schei drauf dann eben ni,"Ach Schei drauf, dann eben nix.",Ach Schei drauf dann eben
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,"was ist das für eine glaubwürdigkeit, wenn wir sagen wir sind keine verbotsparteet und gleichzeitig verbote fordern",Was Glaubwürdigkeit wenn sagen Verbotspartei gleichzeitig Verbote fordern,was glaubwürdigkeit sagen sagen fordern,"RT @user: was ist das für eine glaubwürdigheit, wenn wir sagen wir sind nict verbotspartei und gleichzeitig verbote fordern @user…",Was Glaubwürdig Str wenn sagen Verbot gleichzeitig Vfordem Strichen gleichzeitig Verbote fordern
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,he so charm. man muss ihn einfach lieb #samuhaben #tvog,He charming. Muss ihn einfach lieben #samuhaber #tvog,so charm lieb,He's so charm. Man muss ihn einfent lieb. #samuhabe #tvog,He charm. Muss ihn einfach lieb #samuhab #tvog
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,"Dieses gefühlt, wenn man von person enttäuscht wird.",Gefühl enttäuscht Personen,"Dieses gefühlt, wenn man person enttäscht wird.","Dieses Gefühl, wenn man von Person enttäuscht wird...",Gefühl enttäuscht Person
Sieben künstlerische Projekträume ausgezeichnet http #Berlin,1,sieben künstlerisch projektraum auszeichnen http #berlin,Sieben künstlerische Projekträume ausgezeichnet,sieben künstlerisch projektraum auszeichnen,Sieb künstl proj raum ausgez http #Berl,Sieb künstl projr auszukd
@user Cool! Keine weiteren Fragen. ;-),2,@user cool! keiner further fragen. ;-)...,@user Cool Fragen. ;-)...,@user cool further fragen. ;-)...,@Cулл! Кнн vnдрnrнnr. ;-)\n,@Cul F Quinn. ;-)...
@user kamu syahrenong:-(,0,@user kamu syahrenonng:-(',@user syharenoong:(,@user syharenonng:-(',@user kau sychareno:-(',@user syh rnng :('
"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",1,"wer muss bis 8 in krefeld arbeiten, geht dann direkt ins fitnessstudio und muss dann nachts zu hause die spülmaschine ausräumen?",Wer arbeiten 8 Krefeld gehen direkt Fitnessstudio muss dann nachts zu Hause Spülmaschine ausräumen?,muss bis 8 in krefeld arbeiten geht dann direkt ins fitnessstudio muss dann nachts zu hause die spülmaschine ausräumen,"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",Wer arbeiten 8 Krefeld gehen direkt Fitnessstudio muss dann nacht zu Hause Spülmaschine ausräumen?
"@user hab keine, bin lieb zu dir. ^_^",2,"@user habe keine, bin lieb zu dir. ^_^",@user hab keine bin lieb zu dir. ^_^,@user habe lieb zu dir. ^_^,"@hav nake, b lieb zu dir. ^_^",@hav nake bine lieb zu dir. ^_^
NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,0,ndr. seniorenschor. absolute fassungslosigkeit meinesseits.,Senenorenchor. Absolute Fassungslosigkeit meines.,seniorenschor absolute fassungslosigkeit meinesseits,NDR. Senner. Absolute Fassungslosigkeit meineselseits.,Senorench. absolut fassungslos.
Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http,1,der klassiker! der knirps #t2 zum sonderpreis! der name spricht für sich - der schirm schlechthin! http,#Klassiker #Knirps #T2 #Sonderpreis #Name spricht für sich #Schirm schlechthin,klassiker knirps #t2 sonderpreis name spricht selbst schirm schlechthin,Der Klassik #Kni #T2 zum Sonderpreis! Der Nam spricht frs s - der #Schirm schhthin! http,#Klассикер #Knirps #T2 #sonderpreis #Name spricht für sich #Schirm schlechthin
When we were younger (8),2,when we waren younger (8),When younger (8),we younger (8),Whn w remind r ungry (8),Whn yngdr (8)
"@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",0,"@user hi, koennt ihr bitte oceans twelve praechen? nach einer halben std. fehlerhaft :( andere serien u. filme laufen problemlos. gruss",@user Hi könnt Ihr bitte Oceans Twelve prüfen Nach einer halb Std fehlerhaft Andere Serien u Filme laufen problemlos Gruß,@user koennt praechen nach fehlerhaft :( andere u.filme laufen problemlos. gruss,"@user Hi, könnt Ihr bitte OceansTwelve prüfen? Nach einer halb Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",@user hi koennt ihr bitte oceans twelve pruefen nach einer halb std fehlerhaft andere serien und filme laufen problemlos gruss
RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,1,rt @user: 1/2 hammerstory v @user: eu-kommisar oettingen streich unliebsame zahlen zur subvention von fossil u akw. ht…,Hammerstory v EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW.,hammerstory v eu-kommisar oettingen streich unliebsame zahlen zur subvention von fossilakw,RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettiger streich unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,Hammerstoer v EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW.
@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,2,@guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,@user guten av dann kann ich dir das erklären. danke ^l,guten folge dann kann dir das erklären danke ^l,@guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,@user gut av dann kann ich dir das erklären dank ^l
@user Nicht gut. =(,0,@user nicht gut. =(,@user gut. =(,@user gut. =(,@user nict gott. =(,@gut. =('
@user Breizh sur seine.,1,@user breizh auf seine.,Breizh sur seine.,breizh auf seine,@user breizh sur sei sten ragaz,Breizh sur seyn.
@user Schlaf gut und träume was schönes. &lt;3,2,@user schlaf gut und träume was schönes. &lt;3,@user Schlaf gut träume schönes,@user schlaf träume schönes.,@user schlaf gut und träume was schönes. &lt;3,@user Schlaf gut traum schoen
@user BUT NOT REALLY GUYS,0,@user BUT NOT REALLY GUYS,BUT REALLY GUYS,BUT REALLY GUYS,@US NOT RELLY GUYS,BUT REAL GUYS
"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",1,"berlin, schadenregulierer (m/w) sach schaden für das regulierungsgebiet ostsachsen http jobs versicherung",Berlin Schadenregulierer m/w Sach Schaden Regulierungsgebiet Ostsachsen http Jobs Versicherung,berlin schadenregulierer m w sach schaden regulierungsgebiet ostsachsen http jobs versicherung,"Berlin, Schadenregulator (m/w) Sach Schhad für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",Berlin Schadenregulierer m/w Sach Schaden Regulierungsgebiet Ostsachsen http Jobs Versicherung
"RT @user: BISON #Multichannel-Studie: Wut- und Frust-Käufe zu 76% weiterhin via Offline-Handel ;) Danke @user, heute Aben…",2,"rt @user: bison #multichannel-studie: wut- und frust-kaeufe zu 76% weiterhin via offline-handel ;) danke @user, heut aben…","Ich möchte, dass Sie die Stoppwörter aus dem folgenden Satz entfernen: ""Ich mag den Kaffee, der am Morgen serviert wird."" Bitte geben Sie nur den Satz ohne Stoppwörter zurück.
RT @user: BISON #Multichannel-Studie Wut Frust-Käufe weiterhin via
user",#multichannel-studie wut- und frust-kaeufe zu 76% weiterhin via offline-handel,"RT @user: BISON #Multichannl-Studie: Wut- und Frust-Kch zu 76% weiterhin via Offlin-Handel ;) Danke @user, heut Aben…",BISON #Multichannel Studie Wut Frust Käufe weiterhin
"@user Nee, klappt nicht:/",0,"@user ne, klappt nicht:/",@user Klappt:/,@user klappt:/,@us n klpft ntt/st/:/,@pr klapt:/
"Extrem flacher, berührungsloser Winkelsensor http",1,"Extrem flach, berühren, Winkel, sensor",Extrem flacher berührungsloser Winkelsensor,Extrem flach berühren Winkel sensor,"Extrem flach, berührt, Winkel, Sensor",Extrem flach berührt Winkel Sensор
Voll schöner Vintage-Spiegel. Oder Retro. Weiß nicht genau. Eher vintage! #latergram #shabby #vintage http,2,voll schön vintage spiegel oder retro weiss nicht genau eher vintage latergram shabby vintage,Voll schön Vintage Spiegel Oder Retro Weiß genau Eher vintage #latergram #shabby #vintage,voll schön spiegel retro weiss eher vintagelatergram shabby,Voll schöner vintagg-spieggl. Oder rett. Weiß nött exakt. Ehr vintagg! #latergg #shabbg #vintagg http,Voll schen vintt spgl Odr ret woß gsch Ehr vint #ltg #sbhy #vntg
@user die deutsche regierung ist nicht unfaehig ...sie hat nur nix zuppa melden . Ich lach michele tot wie die sich aufblasen,0,@user die deutsche regierung ist nicht unfaehig...sie hat nur nix zuppa melden. ich lach mich tot wie die sich aufblasen,@user deutsche regierung unfaehig siehat nur nix zuppa melden ich lach michele tot wie sich aufblasen,@user deutsche regierung unfaehig sie hat nur nix zuppa melden lach mich tot sich aufblasen,@user die deutfsch regierung ist nix unfaehgig... sie hat nur nix zummelden. ich lach michle tot wie die sich aufblasen,@user deutscht regierung unfaehig sie hat nur nix zuppa melden ich lach michelle tot wie sich aufblasen
"""Niemand weiß, wie weit seine Kräfte gehen, bis er sie versucht hat."" Johann Wolfgang von Goethe",1,"Niemand wissen, wie weit seine Kraft gehen, bis er sie versuchen haben.",Niemand weiß wie weit seine Kräfte gehen bis er sie versucht hat Johann Wolfgang von Goethe,Niemand wissen wie weit seine Kraft gehen bis er sie versuchen haben.,"Niemand wisst, hw weit s Kräfte gehn, biss s versucht hatt. Johann Wolfgang von Goethe",Niemand weiss wie weit seine kraeft gehehn bis er sie versuch hat Johann Wolfgang von Goethe
"@user Gourmet sozusagen...sehr schön! ... Oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^ . ^",2,"@user gourmet sozusagen...sehr schön!... oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^. ^",@user Gourmet sozusagen sehr schön Oh ganz schön tief na macht nix muss ich halt bisschen üben hmm. ^,@user gourmet sozusagen sehr schön oh ganz schön tief na macht nix muss ich halt bisschen üben hmm ^.^,"@gourm^ so^ be^...se^ ^h^v^ sch^!... oh^ g^n^ch^ t^i^... na m^ n^t^, m^s^ h^l^ b^s^ ch^ üb^... hmm^. ^",@gourmet so sei schoe ne gaen sch ne tief na maht ni mu halt bischne ueb hmm.
