Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?,offensive,#believe blasey ford is liar she is fat ugly lib real #snowflake she sold herself to get some cash!! From dems and Iran! Why she spoke after #JohnKerryIranMeeting?,#ibelieveblaseyford liar fat ugly libreal #snowflake sold herself cash! From dems and Iran! Why spoke after #JohnKerryIranMeeting?,blasey ford liar fat ugly lib real snowflake sold herself cash dems Iran why spoke after JohnKerryIranMeeting,#believeblaseyford is liar she is fat ugly libreal #snowflake she sold her self to get some cash!! From dems and Iran ! Why she spoke after #JohnKerryIranMeeting?,#believeblaseyford liar fat ugly liber real snowflake sold herself cash! From dems and Iran! Why spoke after JohnKerryIranMeeting?
@user @user @user I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,non-offensive,got in a pretty deep debate with my friend and she told me that Latino for Trump and black for Trump were paid supporters then I said you mean Antifa are paid domestic terrorist and she said No they are anti-fascist then I said they are the fascist are you kidding me?,@user @user @user I got in a pretty deep debate with my friend and she told me that Latinos for Trump and Blacks for Trump were paid supporters 😂 then I said you mean Antifa are paid domestic terrorist and she said No they are anti-fascist then I said they are the fascist are you kidding me?,'got in deep debate friend told Latino Trump black Trump paid supporters then I said Antifa paid domestic terrorist and she said No they anti-fascist then I said they fascist are you kidding me',got in a deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters then I said you mean antifa are paid domestic terrorist and she said No they are anti-fascist then I said they are the fascist are you kidding me?,got in a deep debate with my friend and she told me that Latino for Trump and Black for Trump were paid supporters then I said you mean Antifa are paid domestic terrorist and she said No they are anti-fascist then I said they are the fascist are you kidding me?
"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years."""" -AG Jeff Sessions",non-offensive,"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. if you want public safety, then listen to the police professionals who have been studying this for 35 years.","'...want more shootings death, then listen ACLU Black Lives Matter Antifa. want public safety, then listen police professionals who have been studying this for 35 years... -AG Jeff Sessions'",more shootings death ACLU Black Lives Matter Antifa public safety police professionals studying 35 years,"...if you want more shootings and more death, then listen to the aclu, black lives matter, or antifa. if you want public safety, then listen to the police professionals who have been studying this for 35 years."""" -ag jeff sessions.","want more shootings death, then listen ACLU Black Lives Matter Antifa. want public safety, then listen police professionals who have been studying this for 35 years... -AG Jeff Sessions"
Angels now have 6 runs. Five of them have come courtesy Mike Trout homers. Trout connects on a 3-2 pitch with runners on second and third,non-offensive,angels now have 6 runs. five of them have come courtesy Mike Trout homers. Trout connect on a 3-2 pitch with runners on second and third.,Angels 6 runs. Five Mike Trout homers. Trout 3-2 pitch runners second third.,angels now have 6 runs. five of them have come courtesy Mike Trout homers. Trout connect on a 3-2 pitch with runners on second and third.,angels now have 6 run. five of them have come courtesy Mike Trout homer. Trout connect on a 3-2 pitch with runner on second and third.,angels run. five Mike trout homer. trout pitch runner second third.
"#Travel #Movies and Unix #Fortune combined  Visit #Salisbury, see the sights, but wherever you go there you are, the same old you, why not travel as an international spy? Find yourself at the centre of a vast international conspiracy when you return home.   Recall Recall Recall.",non-offensive,travel travel travel visit visit see sights but wherever you be same old you why not travel as an international spy find yourself at the centre of a vast international conspiracy when you return home recall recall recall,#Travel #Movies #Unix #Fortune combined Visit #Salisbury see sights wherever you go same old you why not travel international spy Find yourself centre vast international conspiracy when you return home Recall Recall Recall.,travel visit see sights but wherever you be same old why not travel as an international spy find yourself at the centre of a vast international conspiracy when you return home recall recall recall,travel movies and unix fortune combined visit salisbury see the sights but wherever you go there you are the same old you why not travel as an international spy find yourself at the centre of a vast international conspiracy when you return home recall recall recall,travel movies unix fortune combined visit salisbury see sights wherever you go same old why not travel international spy find yourself centre vast international conspiracy when you return home recall recall recall.
#naturephotography. #nature. #birds #wild in #Wisconsin #photography. #picoftheday. #pics #fridaymotivation. #fridayfeeling. #instagramers. I hope you are having an #amazing day,non-offensive,#naturephotography #nature #birds #wild in #Wisconsin #photography #picoftheday #pics #fridaymotivation #fridayfeeling #instagramers I hope you are having an #amazing day,naturephotographynaturebirdswildWisconsinphotographypicofthedaypicsfridaymotivationfridayfeelinginstagramersamazingday,naturephotographynaturebirdswildWisconsinphotographypicofthedaypicsfridaymotivationfridayfeelinginstagramershopeyouhavingamazingday,naturephotographynaturebirdswildWisconsinphotographypicofthedaypicsfridaymotivationfridayfeelinginstagramersamazingday,naturephotographynaturebirdswildWisconsinphotographypicofthedaypicsfridaymotivationfridayfeelinginstagramersamazingday
#i2 This speaks for itself (NSFW),non-offensive,this speak self (NSFW),This speaks for itself NSFW,this speak self,speakselfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs selfs,speakselfnsfw
"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She is the in-demand @user grad is behind @user recent redesign:    Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni",non-offensive,"#WomenWednesday: meet multiple-award-winning designer @user BFA 82. she is the in-demand @user grad is behind @user recent redesign: Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni.","#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She is in-demand @user grad behind @user recent redesign: Lacava, centre pictured with classmates at Concordia in 1981. #CUalumni","#WomenWednesday: meet multiple-award-winning designer @user BFA 82. she is in-demand @user grad behind @user recent redesign: Lacava, centre pictured with classmates at Concordia in 1981. #CUalumni.","#womenneday: meet multiple-award-winning designer @user bfa 82. she is the in-demand @user grad is behind @user recent redesign: lacava, centre, is pictured with classmates at #concordia in 1981. #cualumni",#womenneday: meet multiple-award-winning designer @user bfa 82 she is in-demand @user grad behind @user recent redesign: lacava centre pictured with classmates at concordia in 1981 #cualumni
". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️",offensive,"a grown ass woman, probably 10 years older than me be currently spreading rumors rather than talking to me about it, nice work you got there satan heart love",a grown ass woman probably 10 years older than me is currently spreading rumors rather than talking to me about it nice work you got there satan heart red heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart,'grown woman probably 10 years older than me spreading rumors rather than talking to me about it nice work satan heart love',"a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan",a grown ass woman probably 10 years older than me is currently spreading rumors rather than talking to me about it nice work you got there satan heart red heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart heart
#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,non-offensive,#rap is a form of art! used to express yourself freely. it does not give the green light or excuse the behavior of acting like an animal! she is not in the streets of the bx where violence is a way of living. elevate yourself boo and get on @user level for longevity! #queen👑,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,#rap art express yourself freely does not give green light excuse acting animal not streets bx violence way living elevate yourself boo get on user level longevity #queen👑,#rap is a form of art! used to express yourself freely. it does not give the green light or excuse the behavior of acting like an animal! she is not in the streets of the bx where violence is a way of living. elevate yourself boo and get on @user level for longevity! #queen👑,#rap is a form of art! used to express yourself freely. it does not give the green light or excuse the behavior of acting like an animal! she is not in the streets of the bx where violence is a way of living. elevate yourself boo and get on @user level for longevity! #queen👑
