Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?,offensive,I believe Blasey Ford is a liar she is fat ugly liberal #snowflake she sold herself to get some cash. From democrats and Iran. Why she spoke after #JohnKerryIranMeeting.,#ibelieveblaseyford liar fat ugly libreal sold herself cash!! From dems Iran  Why spoke  #JohnKerryIranMeeting?,Blasey Ford liar fat ugly liberal snowflake sold cash democrats Iran John Kerry Iran Meeting,#ibeliev blaseyford is liar she is fat ugly libera #snowflake she sold her  herself to get some cash!! From dems and iran ! Why she spoke after  #johnkerryiranmeeting?,#ibelieveliar fat ugly libera sell self!! From dem  Why spoke  #JohnKerryIranMeet
@user @user @user I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,non-offensive,@user @user @user I get in a pretty deep debate with my friend and she tell me that latino be for trump and black be for trump were pay supporter then I say you mean antifa be pay domestic terrorist and she say no they be anti fascist then I say they be fascist are you kidding me,@user @user @user I got debate with friend told latinos for Trump blacks for Trump paid supporters then I said mean antifa paid domestic terrorist said No they anti-fascist said they fascist kidding me,@user @user @user I debate latino trump supporter pay antifa domestic terrorist fascist kidding me,@user @user @user I got in a pretty deep debat with my friend and she told me that latino for Trump and black for Trump were pay supporter then I said you mean antifa are pay domest terrorist and she said No they are anti-fascist then I said they are the fasc are you kid me,@user @user @user I got debat with friend told latino for Trump black for Trump pay supporter then I said mean antifa pay domest terror say No they anti-fascist say they fascis kid me
"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years."""" -AG Jeff Sessions",non-offensive,"
AG Jeff Sessions'
...if you want more violence and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years.",...want shootings death listen ACLU Black Lives Matter Antifa. want safety listen police professionals studying years. -AG Jeff Sessions,want violence death listen ACLU Black Lives Matter Antifa. want public safety listen police professionals studying years.,"...if you want mor shoot and mor death, then listen to aclu, black lives matter, or antifa. if you want public safet, then listen to polici professional who have been studi this for 35 year.",...want shoot death listen ACLU Black Liv Matter AntiFa. want saf listen polic profes studi year. -AG Jeff Sess
Angels now have 6 runs. Five of them have come courtesy Mike Trout homers. Trout connects on a 3-2 pitch with runners on second and third,non-offensive,Angels now have six runs. Five of them have come courtesy Mike Trout homer. Trout connect on a three to two pitch with runner on second and third.,Angels 6 runs. Mike Trout homers. Trout 3-2 pitch runners second third.,Angels six runs. Mike Trout homer. Trout connect pitch runner second third.,Angels now hav 6 run. Five of them hav com courtesi Mike Trout homer. Trout connect on a 3-2 pitch with runni on second and third.,Angels 6 run. Mike Trout homer. Trout 3-2 pitch runn second third.
"#Travel #Movies and Unix #Fortune combined  Visit #Salisbury, see the sights, but wherever you go there you are, the same old you, why not travel as an international spy? Find yourself at the centre of a vast international conspiracy when you return home.   Recall Recall Recall.",non-offensive,#Travel #Movie and Unix #Fortune combine Visit #Salisbury see sight but wherever you go there you are the same you why not travel as spy Find you at centre of vast conspiracy when you return home Recall Recall Recall.,#Travel #Movies combined Visit #Salisbury see sights but  you are same old  why travel as international spy? Find yourself at centre of vast international conspiracy when return home. Recall Recall Recall.,#Travel #Movie Unix #Fortune combine Visit #Salisbury see but why travel as spy Find at centre of vast conspiracy when return home Recall Recall Recall.,"#travel #movie and unix #fortune combined 
visit #salisburi see the sight but where you go there you are the same old you why not #travel as an internation spy find you at the centre of a vast internation conspiraci when you return home recall",#Travel #Movie combin Visit #Salisburi see sight but  you are same old  why travel as internation spy? Find your self at centur of vast internation conspiraci when return hom. Recur Recur Recur.
#naturephotography. #nature. #birds #wild in #Wisconsin #photography. #picoftheday. #pics #fridaymotivation. #fridayfeeling. #instagramers. I hope you are having an #amazing day,non-offensive,I am having an amazing day.,#naturephotography. #naturephotography. #birds. wild. #Wisconsin. #photography. #picoftheday. #pics. #fridaymotivation. #fridayfeeling. #instagramers. amazing,am having amazing day,"#natur, #natur, #bird, #wild in #wisc, #photog, #picoftheday, #pic, #fridaymotiv, #fridayfeel, #instagramer. i hope you are having an #amazing day.",#naturphotograph. #naturphotograph. #bird. wild. #wisconsin. #photograph. #picoftheday. #pic. #fridaymotiv. #fridayfeel. #instagramer. amaz
#i2 This speaks for itself (NSFW),non-offensive,#this speak for itself,#i2 This speaks itself,#this speak itself,#i2 This speak for itself,#i This speak itself
"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She is the in-demand @user grad is behind @user recent redesign:    Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni",non-offensive,"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She be the in-demand @user grad be behind @user recent redesign: Lacava, centre, be pictured with classmates at #Concordia in 1981. #CUalumni","#WomenWednesday: Meet multiple-award-winning designer BFA 82. She recent redesign:    Lacava, centre, pictured with classmates at  in 1981.","#WomenWednesday:  multiple-award-winning designer BFA 82.  be  in-demand  grad  behind  recent redesign:  centre,  pictured with classmates at  in 1981.","#WomenWednesday: Meet multiple-award-winning design  BFA 82. She is the in-demand  grad is behind  recent redesign:  Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni","#WomenWednesday: Meet multiple-award-winning design BFA 82. She recent redsign:  Lacava, centre, pictur with classmate at  in 1981.
 version: 
 paragraph: "
". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️",offensive,". a grown woman, probably 10 years older than me be currently spreading rumor rather than talk to me about it, nice work you get there devil",grown ass woman spreading rumors talking about nice work satan,"grown woman, probably 10 years older than spreading rumor talk it, work devil",". a grow ass woman, probabl 10 year older than me is currentl spread rumor rather than talk to me about it, nic work you got ther satan ❤️",grown woman spread rumor talk nice work satan
#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,non-offensive,#RAP be a form of ART. Used to express yourself freely. It do not give the green light or excuse the behavior of acting like an animal. She be not in the streets of the BX where violence be a way of living. Elevate yourself and get on user level for longevity. #QUEEN,#RAP ART express yourself freely. gv green light excuse behavior acting animal! She streets BX violence way living. Elevate yourself level longevity! #QUEEN,#RAP ART express freely. do give green light excuse behavior acting animal.  not streets BX violence way living. Elevate user level longevity. #QUEEN,'#RAP is a form of ART! Used to express yourself freely. It does not give the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on user level for longevity! #QUEEN',#rap art express yourself freely. give green light excuse behavior act animal. She street violence way live. Elevate yourself level long. #queen
