Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,Mi fa sbagliare tutte le parole.,@user fa sbagliare tutte parole.,Mi fa sbagliare parole.,@user mi fa sbagliare tutte le parole.,@utente fa sbagliare tutte parole.
@user perfetto hai visto poi alla fine anche oggi e passato..,1,@utente perfetto hai visto poi alla fine anche oggi e passato.,@user perfetto visto oggi passato,@utente perfetto visto oggi passato.,@user perfetto hai visto poi alla fine anche oggi e passato..,@user perfetto visto oggi passato.
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"Rutelli: appoggio al governo Monti, sta lavorando bene Ballarò OsservatorioTivù",Rutelli appoggio al governo monti lavorando bene ballarò osservatoriotivvù,Rutelli appoggio al governo Monti lavorando bene Ballarò OsservatorioTivù,"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatori",Rutelli appoggio al governo Monti lavorando bene ballerò osservatorio.
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,RT @user: Non legalizzano la cannabis. Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,legalizzano cannabis tassano cartine geni finanza governoletta proibizionismo,Non legalizzano la cannabis.  Ma iper tassano le cartine.  Questi sono geni della finanza.,RT @user: Non legalizzano la #cannab  Ma iper tassano le cartin. Questi sono geni della finan. #governoletta #proibizionismo,legalizzare cannabis tassare cartelle geni finanza governoletta proibizionismo
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,"C'è da vergognarsi, ha fatto bene a cancellare il suo profilo.",Vergognarsi cancellare profilo lol.,Vergognarsi cancellare profilo.,"@utente @utente @utente c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol.",Vergognarsi cancellare profilo.
@user lo so amore grazie..,2,"Amore, lo so.",lo amore,Amore so.,@user lo so amore grazie,Amor.
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,Siamo dei falsi. Vogliono le ragazze timide e poi stanno con le donne di facile conquista. Le ragazze vogliono i dolci e poi amano con i ragazzi.,Falsi ragazzi vogliono ragazze timide poi stanno con troie. Ragazze vogliono dolci poi amano con.,Falsi vogliono ragazze timide donne facile conquista. Ragazze vogliono dolci amano ragazzi.,RT @user: Siamo dei falsi. I ragazz vogliono le ragazz timide e poi stanno con le troie. Le ragazz vogliono i dolci e poi amano con…,Falsi v Vogliono timide poi stanno con troie. Vogliono dolci poi amano con.
in vendita Villa Stupenda a Santo Domingo http,1,In vendita villa a Santo Domingo.,Villa Stupenda Santo Domingo,Villa Santo Domingo.,in vendita villa a Santo Domingo http,Villa Stupenda Santo Domingo
RT @user: ditemi se non è una delle cose più belle del mondo http,2,RT @user: dimmi se non è una delle cose più belle del mondo.,ditemi se una delle cose più belle del mondo,dimmi cose più belle del mondo,RT @user: ditemi se non è una delle cose più bello del mondo http,ditemi se una delle cose più bella del mondo
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il...",Pensioni falsa equità Monti Sante Moretti governo Monti vuole eliminare,Pensioni falsa equità Monti Sante Moretti governo Monti vuole eliminare,"Pensioni, la falsa equit di Monti: di Sante Moretti Il governo Monti vuole eliminare il...",Pensioni falsa equità governo vuole eliminare.
RT @user: TROVA LE DIFFERENZE. http,1,RT @user: Trova le differenze.,TROVA DIFFERENZE,Trova differenze.,RT @user: TROVA LE DIFFERENZE. http,trova differenze
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,2,Il governo di Monti: soddisfazione per la composizione del nuovo esecutivo.,Governo Monti Soddisfazione Composizione Esecutivo Terni,Governo di Monti: soddisfazione per composizione del nuovo esecutivo.,"
ta del paragrafo.
GOVERNO MONTI: SODDISF per LA COMPOSIZ del NUOVO ES ",
