Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,non-offensive,Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Bono... cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Bono who cares soon people understand that they gain nothing from following phony celebrity Become Leader your people instead or help and support fellow countrymen.,bono... who cares. soon people will understand that they gain nothing from following a phony celebrity. become a leader of your people instead or help and support your fellow countrymen.,become a lead of your people inste or help and support your fellow countrymen.
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,non-offensive,Get him some line help. He be just fine. As the game went on you could see him progressing more with his reads. He bring what has been missing. The deep ball presence. Now he just need a little more time.,'@user Get him some line help. He gonna be just fine. As game went on you could see him progressing more with his reads. He brought what missing. Deep ball presence. Now he just needs little more time','Get him some line help. He be just fine. As the game went on you could see him progressing more with his reads. He bring what has been missing. The deep ball presence. Now he just need a little more time.',get him some line help. he is gonna be just fine. as the game went on you could see him progressing more with his reads. he brought what has been missing. the deep ball presence. now he just needs a little more time.,get him some line help. he gonna be just fine. as game went on you could see him progressing more with his reads. he brought what missing. deep ball presence. now he just needs little more time.
@user @user She is great. Hi Fiona!,non-offensive,user be great. Hi Fiona.,'@user @user She great. Hi Fiona!',user great. Hi Fiona.,user user she great hi fiona,user user great hi Fiona!
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",non-offensive,"this is the VetsResistSquadron is bullshit. they are girl scout veterans, i have never met any other veterans or served with anyone that was a gun control advocate? have you?",VetsResistSquardon Bullshit They girl scout veterans I never met any other veterans served with anyone gun control advocate? Have you?,VetsResistSquadron bullshit girl scout veterans never met other veterans served gun control advocate? have?,is the VetsResistSquadron is Bullshit They are girl scout veterans I have never met any other veterans or served with anyone that was a gun control advocate? Have you?,vetresist squardon vetgirl scout veterans never met any other veterans served with anyone guncontrol advocate? have you?
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,non-offensive,user user laugh. Except he be the most successful president in our lifetimes. He be undone most of the damage Obummer do and set America on the right path again. #MAGA,'@user @user Lol. Except he’s most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on right path again. #MAGA',user laugh. Except he be the most successful president in our lifetimes. He be undone most of the damage Obummer do and set America on the right path again. #MAGA,user user lol except he most successful president our lifetimes. he undone most damage obummer did set america right path again. #maga,user user lol except he most successful president in our lifetimes. he undone most of the damage obummer did and set america on right path again. maga
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,non-offensive,been a Willie fan since before most of you were born....love that he is holding a rally with Beto.... exactly which fans are furious? could you give some specifics?,'@user Willie fan since before most of you were born.... LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious? Could you give some specifics?','Willie fan since before most you were born....love that he is holding rally with Beto.... exactly which fans furious? could you give some specifics?',been a willie fan since before most of you were born.... love that he is holding a rally with beto.... exactly which fans are furious? could you give some specifics?,willie fan since before most of you were born.... love that he is holding a rally with beto.... exactly which fans are furious? could you give some specifics?
@user Here's a link to my channel with a plethora of topics to peruse:,non-offensive,Here's a link to my channel with a plethora of topics to peruse:,'@user link channel plethora topics peruse','link channel plethora topics peruse',heres a link to my channel with a plethora of topics to peruse:,link channel plenty peruse
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,non-offensive,'@user friend order 100 pair of Levi’s and then call to cancel! Over Gun control! Wow getting wild!','@user Friend ordered 100 pair Levi’s and then called cancel! Over Gun control! Wow getting wild!','@user friend order 100 pair of Levi’s and then call to cancel! Over Gun control! Wow getting wild!',friend order 100 pair of Levi’s and then call cancel! over gun control! wow getting wild!,friend order 100 pair levis and then call cancel! over gun control! wow getting wild!
@user @user Lmfaoooooo,non-offensive,lmao,@user @user Lmfaoooooo,lmao,lmao,lmao
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,non-offensive,Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,Goodell should fired over year ago. Looks like owners let him steer ship right iceberg. Oh well.,Goodell should fired over year ago. Looks like owners let him steer ship right iceberg. Oh well.,goodell should have been fired over a year ago. looks like the owners will let him steer the ship right into the iceberg. oh well.,goodell should fired over year ago. looks like owners let him steer ship right iceberg. oh well.
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,non-offensive,user user this is a common message from liberals and Democrats. remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards.,liberals Democrats message Pelosi approve health care package Obama care see afterwards,user this common message liberals Democrats remember Nancy Pelosi approve health care package Obama care then see what's in it afterwards.,liberal Democrat message approve Pelosi health care package Obama care see afterwards,liberals Democrats message Pelosi approve health care package Obama care see afterwards
@user @user You mean the way Hillary re-victimized all of Bills accusers?,non-offensive,user user mean the way Hillary re-victimize all of Bills accusers?,'hillary re-victimized all of bills accusers',user mean Hillary re-victimize all of Bills accusers?,user user mean the way Hillary re-victimize all of Bills accusers?,hillary revictimized all of bills accusers
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,non-offensive,great comedy there cnn - news? not so much! #maga! #licensereporters!,'COMEDY THERE CNN NEWS NOT SO MUCH MAGA LICENSEREPORTERS','great comedy there cnn - news? so much! maga licensereporters',great comedy there cnn - news? not so much! #maga! #licensereporters!,comedy there cnn news not so much magalicensereporters
@user You are so fragile. It must be hard to live that way.,non-offensive,you be so fragile. it must be hard to live that way.,user so fragile. must be hard live that way.,be fragile. must hard live that way.,you are so fragile. it must be hard to live that way.,user so fragile. must be hard live that way.
@user Freudian slip.,non-offensive,user Freudian slip.,'@user Freudian slip.',user Freudian slip.,@user Freudian slip.,@user Freudian slip.
@user He is so underrated and I love how pure he is as a person,non-offensive,he be so underrated and I love how pure he be as a person,'@user underrated love pure person',he underrated and love pure person he be,he is so underrated and I love how pure he is as a person,underrated love pure person
@user Haha we set then 😂,non-offensive,we set then,'@user Haha we set then 😂',we set then,ha we set then 😂,ha we set then 😂
@user he is a psychic ain’t he,non-offensive,he be a psychic ain’t he,he a psychic ain’t he,he a psychic ain’t he,he is a psychic ain’t he,he a psychic ain’t he
@user I am stunned that you are giving this guy airtime. Stunned.,non-offensive,I be stunned that you be giving this guy airtime. Stunned be.,stunned stunned giving guy airtime guy,stunned that giving guy airtime stunned be.,stunned stunned guy airtime stunned.,stunned giving guy airtime guy
@user She Wants Gun Control? Figures,non-offensive,she want gun control? figure,'@user She Wants Gun Control Figures',she want gun control figure,she want gun control figure,she want gun control figure
@user @user @user Didn't see him matching with antifa tbh,non-offensive,didnt see him matching with antifa tbh,'@user @user @user didn't see him matching with antifa tbh','see him matching antifa tbh',didnt see him matching with antifa tbh,user user user didn't see him matching with antifa tbh
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,non-offensive,user user user and conservatives no longer conservatives why do you think Maxime Bernier have started a new party that will follow original Conservative values.,conservatives no longer conservatives why think Maxime Bernier started new party follow original Conservative values.,user conservatives no longer why think Maxime Bernier started new party follow original Conservative values.,and conservativ conservativ conservativ are no longer conservativ why do you think Maxime Bernier has start a new part that will follow original conservativ values.,conservatives no longer conservativ why think Maxime Bernier start new party follow original Conservativ valu.
@user @user @user Can you let him know?,non-offensive,user user user let him know,'@user @user @user let know?',user let know,user user user let him know,let know?
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,non-offensive,sir it come to something when you present a lie as a fact.... have you no shame? this be the fact 65% of labour voters vote to remain. ref yougov polls. your position be based on a false premise......have a nice day,'@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day',sir come to something when present lie fact have no shame this be fact labour voters vote remain ref yougov polls position based false premise have nice day,sir it come to someth when you present a lie as a fact.... have you no shame? this come to 65% of labour voters vote to remain. ref yougov polls. your position base on a false premise....have a nice day,sir it come to someth when you present a lie as a fact.... have you no shame? this come to 65% of labour voters vote to remain. ref yougov polls. your position base on a false premise....have a nice day
@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,non-offensive,user user a stark reminder that user and you are trying to con us with chequers and a bit of our waters back - not good enough - user user user user user user user appeasing is not a good look,user user stark reminder user and you trying con us chequers bit waters back user not good enough user user appeasing not good look user,user a stark reminder that user and you are trying to con us with chequers and a bit of our waters back - not good enough - user user user user user user appeasing is not a good look,user user stark reminder user and you trying con user with chequers bit our waters back not good enough user user appeasing not a good look user,user user stark reminder user and you trying con us chequers bit waters back user not good enough user user appeasing not good look user
@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,non-offensive,user user where be holier than thou user sipping wine in the shade somewhere... #MAGA,'@user @user WHERE'S holier than thou @user Sippin wine in the shade somewhere... #MAGA',user where be holier than thou sipping wine in the shade somewhere #MAGA,holier than thou sip wine shade somewhere #maga,holier than thou sip wine shade somewhere #maga
