filename,column,perc_correct_lemmas
cardiffnlp_italian_test_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5039
cardiffnlp_italian_test_Llama-3.1-8B-Instruct_it-prompt_,Text_lemmatized,0.4791
cardiffnlp_italian_test_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.5884
cardiffnlp_italian_test_Phi-4-mini-instruct_it-prompt_,Text_lemmatized,0.5922
cardiffnlp_italian_test_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6348
cardiffnlp_italian_test_Qwen2.5-7B-Instruct_it-prompt_,Text_lemmatized,0.6095
cardiffnlp_italian_test_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.5683
cardiffnlp_italian_test_gemma-2-9b-it_it-prompt_,Text_lemmatized,0.5616
cardiffnlp_italian_test_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6191
cardiffnlp_italian_test_gemma-3-4b-it_it-prompt_,Text_lemmatized,0.5972
cardiffnlp_italian_train_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5605
cardiffnlp_italian_train_Llama-3.1-8B-Instruct_it-prompt_,Text_lemmatized,0.5471
cardiffnlp_italian_train_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.6158
cardiffnlp_italian_train_Phi-4-mini-instruct_it-prompt_,Text_lemmatized,0.6172
cardiffnlp_italian_train_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6435
cardiffnlp_italian_train_Qwen2.5-7B-Instruct_it-prompt_,Text_lemmatized,0.6359
cardiffnlp_italian_train_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6177
cardiffnlp_italian_train_gemma-2-9b-it_it-prompt_,Text_lemmatized,0.6045
cardiffnlp_italian_train_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6483
cardiffnlp_italian_train_gemma-3-4b-it_it-prompt_,Text_lemmatized,0.6360
